"State","StateCapital"
Alabama,Montgomery
Alaska,Juneau
Arizona,Phoenix
Arkansas,Little
California,Sacramento
Colorado,Denver
Connecticut,Hartford
Delaware,Dover
Florida,Tallahassee
Georgia,Atlanta
Hawaii,Honolulu
Idaho,Boise
Illinois,Springfield
Indiana,Indianapolis
Iowa,Des
Kansas,Topeka
Kentucky,Frankfort
Louisiana,Baton
Maine,Augusta
Maryland,Annapolis
Massachusetts,Boston
Michigan,Lansing
Minnesota,Saint
Mississippi,Jackson
Missouri,Jefferson
Montana,Helena
Nebraska,Lincoln
Nevada,Carson
New Hampshire,Concord
New Jersey,Trenton
New Mexico,Santa
New York,Albany
North Carolina,Raleigh
North Dakota,Bismarck
Ohio,Columbus
Oklahoma,Oklahoma
Oregon,Salem
Pennsylvania,Harrisburg
Rhode Island,Providence
South Carolina,Columbia
South Dakota,Pierre
Tennessee,Nashville
Texas,Austin
Utah,Salt
Vermont,Montpelier
Virginia,Richmond
Washington,Olympia
West Virginia,Charleston
Wisconsin,Madison
Wyoming,Cheyenne
